UNSORTED ONES
Algorithm, Input Size, Average Time
Quick Sort, 22400, 0.373602
Merge Sort, 22400, 1.60765
Shell Sort, 22400, 0.342644
Radix Sort (LSD), 22400, 0.129668
Insertion Sort, 24640, 216.761
Selection Sort, 24640, 167.574
Bubble Sort, 24640, 469.712
Quick Sort, 24640, 0.402045
Merge Sort, 24640, 1.7632
Shell Sort, 24640, 0.452471
Radix Sort (LSD), 24640, 0.147871
Insertion Sort, 26880, 256.802
Selection Sort, 26880, 198.718
Bubble Sort, 26880, 558.042
Quick Sort, 26880, 0.468745
Merge Sort, 26880, 1.91305
Shell Sort, 26880, 0.441105
Radix Sort (LSD), 26880, 0.155549
Insertion Sort, 29120, 301.898
Selection Sort, 29120, 233.303
Bubble Sort, 29120, 652.284
Quick Sort, 29120, 0.497715
Merge Sort, 29120, 2.05998
Shell Sort, 29120, 0.46739
Radix Sort (LSD), 29120, 0.171799
Insertion Sort, 31360, 348.695
Selection Sort, 31360, 271.667
Bubble Sort, 31360, 760.118
Quick Sort, 31360, 0.535405
Merge Sort, 31360, 2.2244
Shell Sort, 31360, 0.495431
Radix Sort (LSD), 31360, 0.182103
Insertion Sort, 33600, 397.808
Selection Sort, 33600, 310.613
Bubble Sort, 33600, 868.785
Quick Sort, 33600, 0.553231
Merge Sort, 33600, 2.38504
Shell Sort, 33600, 0.549215
Radix Sort (LSD), 33600, 0.194346
Insertion Sort, 35840, 455.533
Selection Sort, 35840, 352.742
Bubble Sort, 35840, 991.21
Quick Sort, 35840, 0.614679
Merge Sort, 35840, 2.6722
Shell Sort, 35840, 0.744834
Radix Sort (LSD), 35840, 0.216403
Insertion Sort, 38080, 508.897
Selection Sort, 38080, 401.116
Bubble Sort, 38080, 1116.08
Quick Sort, 38080, 0.66155
Merge Sort, 38080, 2.7958
Shell Sort, 38080, 0.618175
Radix Sort (LSD), 38080, 0.224307
Insertion Sort, 40320, 576.059
Selection Sort, 40320, 447.037
Bubble Sort, 40320, 1250.32
Quick Sort, 40320, 0.742443
Merge Sort, 40320, 2.97802
Shell Sort, 40320, 0.678754
Radix Sort (LSD), 40320, 0.235392
Algorithm, Input Size, Average Time
Insertion Sort, 1, 3.56e-06
Selection Sort, 1, 3.2e-06
Bubble Sort, 1, 2.16e-06
Quick Sort, 1, 5.98e-06
Merge Sort, 1, 1.54e-06
Shell Sort, 1, 2.12e-06
Radix Sort (LSD), 1, 6.91e-05
Insertion Sort, 42560, 609.051
Selection Sort, 42560, 499.156
Bubble Sort, 42560, 1387.4
Quick Sort, 42560, 0.763638
Merge Sort, 42560, 3.14579
Shell Sort, 42560, 0.720747
Radix Sort (LSD), 42560, 0.253145
Insertion Sort, 44800, 675.698
Selection Sort, 44800, 552.847
Bubble Sort, 44800, 1550.99
Quick Sort, 44800, 0.827641
